ttl;humidity;deviceId;co2;temperature;timestamp;datetime
1793637380.0;40.8;esp32-001;1090.0;24.23;1762101380000.0;2025-11-02 16:36:20.000000000
1793637399.0;40.7;esp32-001;1101.0;24.23;1762101398000.0;2025-11-02 16:36:38.000000000
1793637419.0;41.0;esp32-001;1099.0;24.23;1762101418000.0;2025-11-02 16:36:58.000000000
1793637439.0;41.1;esp32-001;1101.0;24.23;1762101438000.0;2025-11-02 16:37:18.000000000
1793637459.0;41.1;esp32-001;1099.0;24.23;1762101457000.0;2025-11-02 16:37:37.000000000
1793637478.0;40.9;esp32-001;1071.0;24.23;1762101477000.0;2025-11-02 16:37:57.000000000
1793637497.0;41.2;esp32-001;1098.0;24.23;1762101496000.0;2025-11-02 16:38:16.000000000
1793637516.0;41.0;esp32-001;1133.0;24.23;1762101515000.0;2025-11-02 16:38:35.000000000
1793637535.0;41.1;esp32-001;1143.0;24.23;1762101534000.0;2025-11-02 16:38:54.000000000
1793637554.0;41.1;esp32-001;1112.0;24.23;1762101553000.0;2025-11-02 16:39:13.000000000
1793637573.0;40.9;esp32-001;1075.0;24.23;1762101572000.0;2025-11-02 16:39:32.000000000
1793637593.0;41.6;esp32-001;1089.0;24.23;1762101592000.0;2025-11-02 16:39:52.000000000
1793637612.0;41.1;esp32-001;1099.0;24.23;1762101611000.0;2025-11-02 16:40:11.000000000
1793637630.0;41.1;esp32-001;1082.0;24.23;1762101630000.0;2025-11-02 16:40:30.000000000
1793637651.0;41.1;esp32-001;1060.0;24.23;1762101650000.0;2025-11-02 16:40:50.000000000
1793637671.0;41.3;esp32-001;1081.0;24.23;1762101669000.0;2025-11-02 16:41:09.000000000
1793637694.0;41.3;esp32-001;1094.0;24.22;1762101690000.0;2025-11-02 16:41:30.000000000
1793637716.0;41.8;esp32-001;1091.0;24.22;1762101714000.0;2025-11-02 16:41:54.000000000
1793637738.0;41.2;esp32-001;1092.0;24.22;1762101736000.0;2025-11-02 16:42:16.000000000
1793637758.0;41.4;esp32-001;1059.0;24.22;1762101757000.0;2025-11-02 16:42:37.000000000
1793637778.0;41.4;esp32-001;1064.0;24.22;1762101777000.0;2025-11-02 16:42:57.000000000
1793637798.0;41.2;esp32-001;1057.0;24.23;1762101796000.0;2025-11-02 16:43:16.000000000
1793637819.0;41.2;esp32-001;1060.0;24.24;1762101818000.0;2025-11-02 16:43:38.000000000
1793637839.0;41.1;esp32-001;1032.0;24.24;1762101838000.0;2025-11-02 16:43:58.000000000
1793637860.0;41.1;esp32-001;1054.0;24.24;1762101859000.0;2025-11-02 16:44:19.000000000
1793637882.0;41.2;esp32-001;1150.0;24.24;1762101881000.0;2025-11-02 16:44:41.000000000
1793637901.0;41.3;esp32-001;1145.0;24.24;1762101900000.0;2025-11-02 16:45:00.000000000
1793637920.0;41.2;esp32-001;1100.0;24.24;1762101919000.0;2025-11-02 16:45:19.000000000
1793637939.0;41.1;esp32-001;1090.0;24.25;1762101938000.0;2025-11-02 16:45:38.000000000
1793637958.0;41.1;esp32-001;1078.0;24.25;1762101957000.0;2025-11-02 16:45:57.000000000
1793637977.0;41.1;esp32-001;1036.0;24.25;1762101976000.0;2025-11-02 16:46:16.000000000
1793637996.0;41.0;esp32-001;1046.0;24.25;1762101995000.0;2025-11-02 16:46:35.000000000
1793638015.0;41.0;esp32-001;1029.0;24.25;1762102014000.0;2025-11-02 16:46:54.000000000
1793638034.0;41.1;esp32-001;1043.0;24.25;1762102033000.0;2025-11-02 16:47:13.000000000
1793638054.0;41.0;esp32-001;1127.0;24.25;1762102053000.0;2025-11-02 16:47:33.000000000
1793638074.0;41.1;esp32-001;1129.0;24.25;1762102073000.0;2025-11-02 16:47:53.000000000
1793639590.0;41.2;esp32-001;1427.0;24.24;1762102138276.0;2025-11-02 16:48:58.276000000
1793639591.0;42.0;esp32-001;1045.0;24.24;1762102147057.0;2025-11-02 16:49:07.056999936
1793639593.0;41.9;esp32-001;1035.0;24.24;1762102156336.0;2025-11-02 16:49:16.336000000
1793639594.0;41.5;esp32-001;1041.0;24.24;1762102165114.0;2025-11-02 16:49:25.113999872
1793639595.0;41.3;esp32-001;1026.0;24.24;1762102173890.0;2025-11-02 16:49:33.889999872
1793639597.0;41.2;esp32-001;1054.0;24.24;1762102183668.0;2025-11-02 16:49:43.668000000
1793639598.0;41.1;esp32-001;1088.0;24.23;1762102192445.0;2025-11-02 16:49:52.444999936
1793639599.0;41.0;esp32-001;1242.0;24.22;1762102201223.0;2025-11-02 16:50:01.223000064
1793639601.0;40.9;esp32-001;1533.0;24.21;1762102210501.0;2025-11-02 16:50:10.500999936
1793639602.0;40.9;esp32-001;1681.0;24.2;1762102219279.0;2025-11-02 16:50:19.279000064
1793639603.0;40.8;esp32-001;1803.0;24.2;1762102228564.0;2025-11-02 16:50:28.564000000
1793639605.0;40.7;esp32-001;1889.0;24.2;1762102237342.0;2025-11-02 16:50:37.342000128
1793639607.0;40.7;esp32-001;1987.0;24.2;1762102246120.0;2025-11-02 16:50:46.120000000
1793639610.0;40.7;esp32-001;2100.0;24.2;1762102254898.0;2025-11-02 16:50:54.897999872
1793639612.0;40.5;esp32-001;2065.0;24.2;1762102264177.0;2025-11-02 16:51:04.176999936
1793639614.0;40.5;esp32-001;1947.0;24.2;1762102272955.0;2025-11-02 16:51:12.955000064
1793639615.0;40.5;esp32-001;1842.0;24.2;1762102282232.0;2025-11-02 16:51:22.232000000
1793639617.0;40.5;esp32-001;1781.0;24.2;1762102291009.0;2025-11-02 16:51:31.008999936
1793639619.0;40.3;esp32-001;1697.0;24.2;1762102300287.0;2025-11-02 16:51:40.287000064
1793639621.0;40.3;esp32-001;1707.0;24.2;1762102309064.0;2025-11-02 16:51:49.064000000
1793639623.0;40.3;esp32-001;1812.0;24.2;1762102318343.0;2025-11-02 16:51:58.343000064
1793639625.0;40.2;esp32-001;1643.0;24.2;1762102327623.0;2025-11-02 16:52:07.623000064
1793639626.0;40.2;esp32-001;1591.0;24.2;1762102336904.0;2025-11-02 16:52:16.904000000
1793639627.0;40.1;esp32-001;1576.0;24.2;1762102345684.0;2025-11-02 16:52:25.684000000
1793639629.0;40.0;esp32-001;1590.0;24.2;1762102354965.0;2025-11-02 16:52:34.964999936
1793639631.0;39.9;esp32-001;1503.0;24.2;1762102364745.0;2025-11-02 16:52:44.744999936
1793639632.0;40.0;esp32-001;1458.0;24.2;1762102374028.0;2025-11-02 16:52:54.028000000
1793639633.0;40.1;esp32-001;1149.0;24.19;1762103588000.0;2025-11-02 17:13:08.000000000
1793639648.0;40.0;esp32-001;1095.0;24.15;1762103646000.0;2025-11-02 17:14:06.000000000
1793639663.0;39.9;esp32-001;1093.0;24.14;1762103662000.0;2025-11-02 17:14:22.000000000
1793639678.0;39.8;esp32-001;1049.0;24.13;1762103676000.0;2025-11-02 17:14:36.000000000
1793639693.0;39.7;esp32-001;1059.0;24.13;1762103691000.0;2025-11-02 17:14:51.000000000
1793639709.0;39.9;esp32-001;1073.0;24.13;1762103707000.0;2025-11-02 17:15:07.000000000
1793639724.0;39.7;esp32-001;1075.0;24.13;1762103723000.0;2025-11-02 17:15:23.000000000
1793639739.0;39.6;esp32-001;1064.0;24.13;1762103737000.0;2025-11-02 17:15:37.000000000
1793639757.0;39.6;esp32-001;1014.0;24.12;1762103755000.0;2025-11-02 17:15:55.000000000
1793639771.0;39.6;esp32-001;1013.0;24.1;1762103771000.0;2025-11-02 17:16:11.000000000
1793639785.0;39.5;esp32-001;1032.0;24.1;1762103784000.0;2025-11-02 17:16:24.000000000
1793639800.0;40.0;esp32-001;1029.0;24.1;1762103799000.0;2025-11-02 17:16:39.000000000
1793639815.0;39.8;esp32-001;1019.0;24.1;1762103814000.0;2025-11-02 17:16:54.000000000
1794153986.0;60.8;esp32-001;949.0;20.02;1762103835631.0;2025-11-02 17:17:15.631000064
1794153988.0;51.5;esp32-001;1487.0;20.41;1762103852417.0;2025-11-02 17:17:32.416999936
1794153989.0;44.8;esp32-001;1515.0;20.71;1762103869200.0;2025-11-02 17:17:49.200000000
1794153991.0;43.3;esp32-001;1527.0;20.84;1762103885986.0;2025-11-02 17:18:05.985999872
1794153992.0;44.4;esp32-001;1519.0;21.01;1762103902766.0;2025-11-02 17:18:22.766000128
1794153993.0;63.9;esp32-001;1219.0;21.28;1762103919547.0;2025-11-02 17:18:39.547000064
1794153995.0;42.2;esp32-001;1098.0;21.37;1762103936327.0;2025-11-02 17:18:56.327000064
1794153996.0;40.0;esp32-001;1012.0;21.45;1762103953104.0;2025-11-02 17:19:13.104000000
1794153997.0;39.4;esp32-001;983.0;21.53;1762103969894.0;2025-11-02 17:19:29.894000128
